variant,n_runs_total,acc_dec_mean,acc_dec_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,acc_bub_mean,acc_bub_std
emb128_g128_e128_mean,15,0.6015666666666667,0.03429203711539765,0.60476,0.034398791507011646,0.9937666666666667,0.00844754120327046,0.75148,0.027831770130040744,0.58544,0.041088715864925386
emb128_g128_e16_mean,15,0.6043066666666667,0.03184997121924394,0.6082933333333334,0.03193009030157394,0.9950133333333333,0.007820199729516112,0.7545933333333333,0.025422050795847827,0.5898466666666666,0.035632045502141274
emb128_g128_e256_mean,15,0.6018333333333333,0.03176353854582924,0.60534,0.03252119748278475,0.9948133333333333,0.007912816607673064,0.7522333333333333,0.025905312931814545,0.5837733333333334,0.03561577633310164
emb128_g128_e32_mean,15,0.5893066666666666,0.01951316283459767,0.5923466666666667,0.017913517109660392,0.99388,0.00995261631072812,0.7421533333333333,0.015219764718787143,0.5744733333333334,0.024260269303259314
emb128_g128_e64_mean,15,0.60094,0.03253193595749962,0.6038666666666667,0.035298232789974605,0.9936200000000001,0.01145458111723988,0.7506733333333333,0.028527592324090804,0.58764,0.034866107161130394
emb128_g128_e8_mean,15,0.5969533333333333,0.0406623354446043,0.60034,0.04122940698094018,0.9940733333333334,0.007891719590509924,0.7478866666666667,0.03311550924236184,0.5809466666666666,0.04439694112157256
emb128_g16_e128_mean,15,0.6133866666666666,0.03159852769324785,0.6178533333333334,0.033172274711327984,0.9959466666666666,0.008105630024571693,0.7621933333333333,0.026524879605669054,0.5941066666666667,0.03364086517204647
emb128_g16_e16_mean,15,0.5822333333333334,0.049331164688499,0.58622,0.049082877433407,0.9950733333333334,0.006454286135879734,0.7367,0.03899085973477814,0.5662866666666667,0.05220603230972268
emb128_g16_e256_mean,15,0.6140599999999999,0.02976253157435175,0.6179733333333334,0.029873028127791287,0.9955133333333334,0.00697299553037764,0.7621866666666667,0.023089882344149507,0.5961266666666667,0.031732260886239726
emb128_g16_e32_mean,15,0.60622,0.03839079502767743,0.6102533333333333,0.03855574566532886,0.9953866666666666,0.007243210285370389,0.7559866666666667,0.03048650443033692,0.58612,0.04371453174533939
emb128_g16_e64_mean,15,0.6059,0.03112628654828125,0.6095933333333333,0.031293026760119,0.9946733333333333,0.00791377340614511,0.7555466666666667,0.02518034569905286,0.5888266666666667,0.03434502389963742
emb128_g16_e8_mean,15,0.5943466666666667,0.032349516813937704,0.59944,0.03334725947189234,0.9965133333333334,0.007423886801271638,0.7481133333333333,0.026158196384598802,0.5768,0.03256450741001839
emb128_g256_e128_mean,15,0.6063866666666666,0.03430097596834459,0.60968,0.03434208580070316,0.9941133333333333,0.008619485124386705,0.7554,0.027725053136623056,0.5912466666666667,0.037174739247172094
emb128_g256_e16_mean,15,0.5916666666666667,0.038018447902990214,0.59484,0.03734707485198807,0.9942466666666666,0.008061802941443473,0.7437933333333333,0.030667653193241773,0.5808333333333333,0.038147189873411314
emb128_g256_e256_mean,15,0.6038933333333333,0.024380245711484953,0.6080133333333333,0.024853998432751982,0.99538,0.007282385794308263,0.7546533333333333,0.02022314327223947,0.58646,0.02906851020802899
emb128_g256_e32_mean,15,0.5982333333333333,0.03057402414437708,0.6010133333333333,0.031008889662405482,0.99588,0.006522729490021788,0.7492466666666666,0.024814306549323723,0.5842,0.030738482163475227
emb128_g256_e64_mean,15,0.5988133333333333,0.038389170099813054,0.6025266666666667,0.03771048483733227,0.9945066666666666,0.007313145372416385,0.74982,0.030615640260680962,0.5870533333333333,0.04477864393191192
emb128_g256_e8_mean,15,0.5918733333333334,0.04492332303359751,0.5955466666666667,0.043729801323691406,0.9957733333333333,0.0062789292384093955,0.7444533333333333,0.03467102262010466,0.58052,0.04333316446853543
emb128_g32_e128_mean,15,0.6136466666666667,0.028410734054645784,0.6165666666666667,0.029186363417250352,0.9937933333333333,0.009314924021365361,0.7606666666666667,0.023040419969717407,0.59652,0.028380204368538265
emb128_g32_e16_mean,15,0.593,0.030621211135887023,0.5957933333333333,0.030206963877004698,0.99332,0.00866480566099766,0.7444933333333333,0.02492071618629961,0.5765933333333333,0.03321353998138768
emb128_g32_e256_mean,15,0.6077466666666667,0.03147758537360166,0.6116333333333334,0.03138954936796337,0.99536,0.007259653671393109,0.7573,0.024926950418028636,0.5873666666666667,0.0370894029275723
emb128_g32_e32_mean,15,0.5948533333333333,0.020045514876566944,0.597,0.01968222548392331,0.99264,0.011292778982290282,0.7454533333333333,0.01740483786055995,0.5801333333333333,0.023348773802819658
emb128_g32_e64_mean,15,0.5999866666666667,0.04101353202936574,0.6044133333333334,0.04023209214166272,0.9962133333333333,0.007780549619464697,0.75164,0.03153091000453817,0.58116,0.04911961784402293
emb128_g32_e8_mean,15,0.5635666666666667,0.0675418988127969,0.5675466666666666,0.06729795015628705,0.99538,0.006558004923101898,0.72054,0.05964786907940876,0.55096,0.06821997822171617
emb128_g64_e128_mean,15,0.6009933333333334,0.013102969492592492,0.6042000000000001,0.013375457268551863,0.9954333333333333,0.007841343422313976,0.7518866666666667,0.011303909985150311,0.5871533333333333,0.016339429377458446
emb128_g64_e16_mean,15,0.60372,0.03718141240689262,0.60774,0.03685360614260543,0.99532,0.006256333933360197,0.7541066666666667,0.029095813804607358,0.58658,0.03936735776176573
emb128_g64_e256_mean,15,0.6142133333333333,0.030715628099125848,0.6181666666666666,0.02980147807136578,0.9951266666666667,0.007717555744318697,0.7622733333333334,0.02289489857921152,0.59802,0.035781264051775154
