variant,n_folds,acc_dec_mean,acc_dec_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,acc_bub_mean,acc_bub_std
emb128_g128_e128_mean,3,0.6015666666666667,0.02800011666642366,0.6047600000000001,0.027540573704990252,0.9937666666666667,0.009859175083815725,0.75148,0.023141685331885403,0.58544,0.03415053147463447
emb128_g128_e16_mean,3,0.6043066666666667,0.028326929472382502,0.6082933333333334,0.027760593173297515,0.9950133333333333,0.007687635093663913,0.7545933333333333,0.022003102811497595,0.5898466666666666,0.036409720313857585
emb128_g128_e256_mean,3,0.6018333333333333,0.027610044066124478,0.60534,0.02766089658705948,0.9948133333333333,0.008983570188590587,0.7522333333333333,0.02213240459898861,0.5837733333333333,0.03185558245164152
emb128_g128_e32_mean,3,0.5893066666666666,0.015214339727156509,0.5923466666666667,0.014744779867238902,0.99388,0.009831032499183405,0.7421533333333333,0.014033350752166576,0.5744733333333334,0.02210498887883305
emb128_g128_e64_mean,3,0.6009399999999999,0.027871734786338663,0.6038666666666667,0.02885686284635481,0.9936200000000001,0.0110504841522894,0.7506733333333333,0.022610726068247648,0.58764,0.02876133515676907
emb128_g128_e8_mean,3,0.5969533333333333,0.020537383799630684,0.60034,0.020036975819718923,0.9940733333333334,0.008752835730969317,0.7478866666666667,0.017701947162200356,0.5809466666666666,0.026975116929002077
emb128_g16_e128_mean,3,0.6133866666666666,0.03274309901847002,0.6178533333333334,0.03286152968644849,0.9959466666666666,0.00702057927334582,0.7621933333333333,0.025590000651296102,0.5941066666666667,0.03383874899184858
emb128_g16_e16_mean,3,0.5822333333333334,0.03893346803629664,0.58622,0.03782934310822752,0.9950733333333334,0.006796185204460923,0.7367,0.03063443813749485,0.5662866666666666,0.044686742254647874
emb128_g16_e256_mean,3,0.6140599999999999,0.026153974841312336,0.6179733333333334,0.026302108914178984,0.9955133333333334,0.0077711346232923785,0.7621866666666667,0.020854853951378628,0.5961266666666667,0.027422562486633745
emb128_g16_e32_mean,3,0.60622,0.030665752884936632,0.6102533333333333,0.030529240628180323,0.9953866666666666,0.007990527725584463,0.7559866666666666,0.024413277808056293,0.58612,0.0387643083260878
emb128_g16_e64_mean,3,0.6059,0.034773254089889266,0.6095933333333333,0.03434351370103723,0.9946733333333333,0.0075807739270692615,0.7555466666666667,0.027431342171562303,0.5888266666666667,0.03768390814835072
emb128_g16_e8_mean,3,0.5943466666666667,0.018742319315744597,0.59944,0.019096627974592804,0.9965133333333334,0.0060390838157235,0.7481133333333333,0.014830365246120358,0.5768,0.02131158370464291
emb128_g256_e128_mean,3,0.6063866666666666,0.03800174908255323,0.60968,0.037822474800044484,0.9941133333333333,0.010196005753888796,0.7554,0.030801616840679055,0.5912466666666667,0.041627492517966214
emb128_g256_e16_mean,3,0.5916666666666667,0.03442824615534941,0.59484,0.033801775101316794,0.9942466666666666,0.009163063534284432,0.7437933333333333,0.0287424517627382,0.5808333333333333,0.03401165878538321
emb128_g256_e256_mean,3,0.6038933333333333,0.014293835501128921,0.6080133333333333,0.013127838105847155,0.99538,0.008002074730968204,0.7546533333333333,0.011685415411243748,0.58646,0.020393243979318267
emb128_g256_e32_mean,3,0.5982333333333334,0.032666076185139434,0.6010133333333333,0.032856916065469845,0.99588,0.007136049327183796,0.7492466666666666,0.026620453289403923,0.5842,0.030671863327812302
emb128_g256_e64_mean,3,0.5988133333333333,0.033673825641488,0.6025266666666667,0.03179183123592182,0.9945066666666666,0.007814891767218102,0.74982,0.026429763525238025,0.5870533333333333,0.04340555878379327
emb128_g256_e8_mean,3,0.5918733333333334,0.03604111171056373,0.5955466666666667,0.034245848410184465,0.9957733333333333,0.005646993300273441,0.7444533333333334,0.027993530204912246,0.58052,0.036795907381120485
emb128_g32_e128_mean,3,0.6136466666666667,0.025975452514505545,0.6165666666666667,0.026158488743299603,0.9937933333333333,0.010750262012310814,0.7606666666666667,0.02122475284504703,0.59652,0.027018689827598964
emb128_g32_e16_mean,3,0.593,0.03090119091556181,0.5957933333333334,0.030607543732441733,0.99332,0.009807813211924437,0.7444933333333333,0.02571863397098172,0.5765933333333333,0.031163698967441825
emb128_g32_e256_mean,3,0.6077466666666667,0.030170424811946765,0.6116333333333334,0.02956173427479065,0.99536,0.008036715747119616,0.7573,0.02392445610667043,0.5873666666666667,0.03542959403286085
emb128_g32_e32_mean,3,0.5948533333333333,0.018824285732354708,0.597,0.019032277845807098,0.99264,0.011824922832729203,0.7454533333333333,0.017765295756990165,0.5801333333333333,0.023460181869144416
emb128_g32_e64_mean,3,0.5999866666666667,0.03399024762094758,0.6044133333333334,0.032984058775919894,0.9962133333333333,0.005698221944899424,0.75164,0.02634167041020747,0.58116,0.03924634505275619
emb128_g32_e8_mean,3,0.5635666666666667,0.02076198770188769,0.5675466666666666,0.018049734993437826,0.99538,0.007170132495289058,0.72054,0.016875271849662154,0.55096,0.021720948413916013
