variant,coverage,runs,params,acc_dec,precision_dec,recall_dec,f1_dec,acc_bub,decisions,bubbles
emb8_g8_e8_mean,20,5,489,0.5848450057405281,0.5879418690104237,0.995486555050491,0.7384382945301037,0.5715006305170239,4355,3965
emb8_g8_e16_mean,20,5,673,0.5949483352468428,0.5988322754228901,0.996544154509564,0.7474914326225576,0.5788146279949559,4355,3965
emb8_g8_e32_mean,20,5,1041,0.6176808266360505,0.6209466013706211,0.9958323290911432,0.7641901047791492,0.5992433795712484,4355,3965
emb8_g8_e64_mean,20,5,1777,0.6167623421354764,0.6197128352621767,0.9951211191862058,0.7629275177640806,0.5992433795712484,4355,3965
emb8_g8_e128_mean,20,5,3249,0.6206659012629162,0.62426568761757,0.9970412450620325,0.7670854463631468,0.6025220680958386,4355,3965
emb8_g8_e256_mean,20,5,6193,0.6261768082663605,0.6299811595967945,0.9988669571886185,0.772174596845981,0.6083228247162673,4355,3965
emb8_g16_e8_mean,20,5,897,0.5997703788748565,0.6032238976457377,0.996472879784627,0.7508560362388054,0.5833543505674653,4355,3965
emb8_g16_e16_mean,20,5,1209,0.5965556831228473,0.5999535473193416,0.99596111254013,0.7480979515053726,0.5823455233291299,4355,3965
emb8_g16_e32_mean,20,5,1833,0.6101033295063146,0.6137971606219715,0.9983746476569808,0.7596134257704072,0.5914249684741488,4355,3965
emb8_g16_e64_mean,20,5,3081,0.6204362801377726,0.6239810810495151,0.9966065688873019,0.766854209524127,0.603530895334174,4355,3965
emb8_g16_e128_mean,20,5,5577,0.6252583237657865,0.6285057991877565,0.9978015117746846,0.7706644578956394,0.6078184110970997,4355,3965
emb8_g16_e256_mean,20,5,10569,0.6289322617680827,0.6320745553469098,0.9984992573820382,0.7736726885630595,0.6121059268600252,4355,3965
emb8_g32_e8_mean,20,5,2097,0.5993111366245695,0.6030125328840181,0.9968675886976118,0.7510798245124969,0.5818411097099622,4355,3965
emb8_g32_e16_mean,20,5,2665,0.6055109070034443,0.608803549569545,0.9972117856363109,0.7555168072861712,0.5909205548549811,4355,3965
emb8_g32_e32_mean,20,5,3801,0.6151549942594718,0.6183423443365534,0.9965507065322171,0.7627420583334161,0.5984867591424968,4355,3965
emb8_g32_e64_mean,20,5,6073,0.6234213547646383,0.6263733303498616,0.9961546853524014,0.7688065647597331,0.6080706179066835,4355,3965
emb8_g32_e128_mean,20,5,10617,0.6231917336394949,0.6264697198829347,0.9980947139148345,0.7694332126747376,0.6058007566204288,4355,3965
emb8_g32_e256_mean,20,5,19705,0.6247990815154995,0.6276330827326984,0.9973078154805131,0.7700114380563978,0.6085750315258512,4355,3965
emb8_g64_e8_mean,20,5,6033,0.6036739380022962,0.6076537722101063,0.9972284040951811,0.7548227950755014,0.592938209331652,4355,3965
emb8_g64_e16_mean,20,5,7113,0.5997703788748565,0.6032078081405571,0.9964421800206366,0.7511157522402958,0.5861286254728878,4355,3965
emb8_g64_e32_mean,20,5,9273,0.6135476463834673,0.6167220754220829,0.9961437621994396,0.7614903654130425,0.598234552332913,4355,3965
emb8_g64_e64_mean,20,5,13593,0.6179104477611941,0.6202422574217541,0.9958651281191794,0.7638961738357513,0.6020176544766709,4355,3965
emb8_g64_e128_mean,20,5,22233,0.6206659012629162,0.6238108644606601,0.9969883658727768,0.7669139996274444,0.6055485498108449,4355,3965
emb8_g64_e256_mean,20,5,39513,0.6227324913892078,0.6260350098663224,0.9965000942292886,0.7684841493010897,0.6045397225725094,4355,3965
emb8_g128_e8_mean,20,5,20049,0.5970149253731343,0.6009835376984369,0.9973200595613739,0.7497389791975022,0.5891551071878941,4355,3965
emb8_g128_e16_mean,20,5,22153,0.6020665901262916,0.6053815227530369,0.995982562629568,0.7523672755032393,0.5891551071878941,4355,3965
emb8_g128_e32_mean,20,5,26361,0.609873708381171,0.6140222352169158,0.9976713085403924,0.7596735061944414,0.5939470365699874,4355,3965
emb8_g128_e64_mean,20,5,34777,0.6153846153846154,0.6189713538659806,0.9967928868757208,0.763183998995781,0.6027742749054225,4355,3965
emb8_g128_e128_mean,20,5,51609,0.6082663605051665,0.6114082509151496,0.9968118523929106,0.757435822398659,0.5939470365699874,4355,3965
emb8_g128_e256_mean,20,5,85273,0.6117106773823192,0.6150425553728248,0.9971851591021927,0.7603672797707759,0.5994955863808323,4355,3965
emb8_g256_e8_mean,20,5,72657,0.5850746268656717,0.5880943675722069,0.9956720663906454,0.7388196946251662,0.5722572509457755,4355,3965
emb8_g256_e16_mean,20,5,76809,0.5857634902411022,0.5887368687810541,0.9958410715070096,0.7395680366979672,0.5745271122320302,4355,3965
emb8_g256_e32_mean,20,5,85113,0.5977037887485649,0.600903658110881,0.9959509437989416,0.7489748991475312,0.5891551071878941,4355,3965
emb8_g256_e64_mean,20,5,101721,0.6110218140068886,0.6144294153970498,0.9960711264779899,0.759350191553375,0.5969735182849937,4355,3965
emb8_g256_e128_mean,20,5,134937,0.6110218140068886,0.6147867736494236,0.9972076346635654,0.7599307915710926,0.5962168978562421,4355,3965
emb8_g256_e256_mean,20,5,201369,0.6064293915040184,0.6096182803501294,0.9970357814084074,0.7556683278787024,0.592938209331652,4355,3965
emb16_g8_e8_mean,20,5,705,0.5754305396096441,0.578465622805196,0.9962993489187993,0.7306932031737046,0.5604035308953341,4355,3965
