epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles,coverage,fold,test_genome,variant
1,0.6934400098812025,0.5865384615384616,0.5757575757575758,1.0,0.7932692307692307,0.6895543397046052,0.2212061198217306,0.23532452033116263,0.46105462312698364,0.5193428722840487,0.2889635018355847,0.6887063057376788,104,99,10,2,klebsiella,emb16_g64_e64_mean
2,0.6838960119988264,0.5961538461538461,0.5757575757575758,1.0,0.7980769230769231,0.6922493213071272,0.2117098040542887,0.29884629008861685,0.45623658657073973,0.47708002119766824,0.2728605820125517,0.6858576031831595,104,99,10,2,klebsiella,emb16_g64_e64_mean
3,0.679072536019566,0.5865384615384616,0.5757575757575758,1.0,0.7932692307692307,0.6826054823513215,0.20690852365223258,0.29420911262814814,0.4439404351370675,0.5881359300476947,0.3444582593202431,0.6864684310096961,104,99,10,2,klebsiella,emb16_g64_e64_mean
4,0.6747556390767495,0.5865384615384616,0.5757575757575758,1.0,0.7932692307692307,0.6869508649867314,0.1986177740571486,0.29375355232220435,0.43884397215313387,0.484399841017488,0.28033536967836037,0.6820563014883262,104,99,10,2,klebsiella,emb16_g64_e64_mean
5,0.6667911886910576,0.6057692307692307,0.5858585858585859,1.0,0.8028846153846154,0.6822542897783793,0.19921866952157982,0.3132870714538372,0.4401752579779852,0.4813857975622682,0.27589137442271444,0.6829808898843251,104,99,10,2,klebsiella,emb16_g64_e64_mean
6,0.6605123345410191,0.5961538461538461,0.5858585858585859,1.0,0.7980769230769231,0.674361475958274,0.19482542451810728,0.3180570737100565,0.43998293643412384,0.5190116587175411,0.3000565666532287,0.6821214522306736,104,99,10,2,klebsiella,emb16_g64_e64_mean
7,0.6525875810424788,0.6057692307692307,0.5959595959595959,1.0,0.8028846153846154,0.6654326560405585,0.18964378946385527,0.33024073248872393,0.44208507375283673,0.5146396396396397,0.29526162435273434,0.6799162821127818,104,99,10,2,klebsiella,emb16_g64_e64_mean
8,0.6449854712315783,0.6057692307692307,0.5959595959595959,1.0,0.8028846153846154,0.6566548857551354,0.17724140370238628,0.3240230625065474,0.43809432604096155,0.5369303126656068,0.31217342768736045,0.6735956926758473,104,99,10,2,klebsiella,emb16_g64_e64_mean
9,0.6350577691265201,0.6057692307692307,0.5959595959595959,1.0,0.8028846153846154,0.6469067111611366,0.1783605217075716,0.32436582044913215,0.4429284632205963,0.5224231584525703,0.3027645925290601,0.6726399407936976,104,99,10,2,klebsiella,emb16_g64_e64_mean
10,0.6272267402832842,0.6153846153846154,0.6060606060606061,1.0,0.8076923076923077,0.644989053790386,0.1686789892615107,0.3300805338300191,0.4472755938768387,0.4847641759406465,0.28314226905185574,0.6648692190647125,104,99,10,2,klebsiella,emb16_g64_e64_mean
11,0.6166840255712507,0.6057692307692307,0.5959595959595959,1.0,0.8028846153846154,0.6296492006916267,0.1685591291193579,0.3007708535744594,0.4488164500186318,0.5273582405935348,0.3167292168212748,0.6615639443580921,104,99,10,2,klebsiella,emb16_g64_e64_mean
12,0.6072650432974133,0.6057692307692307,0.5959595959595959,1.0,0.8028846153846154,0.6136336401104927,0.17059424082008176,0.2555749969413647,0.43839971956453827,0.5273251192368839,0.3093010815007738,0.6592310804587144,104,99,10,2,klebsiella,emb16_g64_e64_mean
13,0.5977259940212494,0.5961538461538461,0.5858585858585859,1.0,0.7980769230769231,0.6094936235592916,0.1631779957923404,0.24328417101731667,0.4362800932592816,0.49894011658717535,0.29724433433078484,0.6491887311522777,104,99,10,2,klebsiella,emb16_g64_e64_mean
14,0.590175883676998,0.6057692307692307,0.5959595959595959,1.0,0.8028846153846154,0.6004724201674645,0.15819907803556527,0.23450422688172415,0.43603919446468353,0.5078828828828829,0.30060172522120815,0.6398683247657923,104,99,10,2,klebsiella,emb16_g64_e64_mean
15,0.584467219763949,0.5961538461538461,0.5757575757575758,1.0,0.7980769230769231,0.5926584806293249,0.1651159107292252,0.2340079780954581,0.4349198956042528,0.5092408585055644,0.2925365161828415,0.6453274350899917,104,99,10,2,klebsiella,emb16_g64_e64_mean
16,0.5771271927385134,0.5961538461538461,0.5858585858585859,1.0,0.7980769230769231,0.5866035263125713,0.15771438190388057,0.23725927621126175,0.4379379791872842,0.5084459459459459,0.29945740514502217,0.6291510302286881,104,99,10,2,klebsiella,emb16_g64_e64_mean
17,0.5701419259073417,0.6057692307692307,0.5858585858585859,1.0,0.8028846153846154,0.5799802635581448,0.1519927219239651,0.21801250485273513,0.43342213468118146,0.5006955484896661,0.2901607071625748,0.6175458852488261,104,99,10,2,klebsiella,emb16_g64_e64_mean
18,0.5636371837793683,0.6057692307692307,0.5959595959595959,1.0,0.8028846153846154,0.5787927721841977,0.16321389885307266,0.21874836316475504,0.43267669528722763,0.5240461049284579,0.3032031284327615,0.6355759555903765,104,99,10,2,klebsiella,emb16_g64_e64_mean
19,0.5600472390328818,0.5961538461538461,0.5757575757575758,1.0,0.7980769230769231,0.5782830788968847,0.14897008125531414,0.19944182009651112,0.4389276596216055,0.4796303656597774,0.27527429713574303,0.6030547355230038,104,99,10,2,klebsiella,emb16_g64_e64_mean
20,0.554541793959629,0.5865384615384616,0.5656565656565656,1.0,0.7932692307692307,0.5657585908730443,0.15422577822963943,0.194880359304639,0.4442973405122757,0.4876457339692633,0.2788632771443683,0.6002260028169706,104,99,10,2,klebsiella,emb16_g64_e64_mean
21,0.5487565938726406,0.5961538461538461,0.5757575757575758,1.0,0.7980769230769231,0.5566643401263998,0.16221506758911858,0.18756057866490805,0.4489891954830715,0.5034114997350292,0.2896160345249774,0.6096904217623748,104,99,10,2,klebsiella,emb16_g64_e64_mean
22,0.5448018961453877,0.5865384615384616,0.5656565656565656,1.0,0.7932692307692307,0.5533319130683174,0.15189220428962275,0.21614385725787053,0.4480991704123361,0.49579358770535237,0.2869902386696228,0.5878408066928387,104,99,10,2,klebsiella,emb16_g64_e64_mean
23,0.5425052594066571,0.5865384615384616,0.5757575757575758,1.0,0.7932692307692307,0.558592847118584,0.14892015400345263,0.19108533042554673,0.4529064238071442,0.46509009009009006,0.2601875098936406,0.5795277362832656,104,99,10,2,klebsiella,emb16_g64_e64_mean
24,0.5381334576743654,0.5769230769230769,0.5656565656565656,1.0,0.7884615384615384,0.5521643878892064,0.15682510038005668,0.18230532668530938,0.45895957946777344,0.47747747747747743,0.26518026584316234,0.5849237569536154,104,99,10,2,klebsiella,emb16_g64_e64_mean
25,0.5428491700380105,0.5961538461538461,0.5757575757575758,1.0,0.7980769230769231,0.5427406974709951,0.15938363306473777,0.15885924504926568,0.4478139711750878,0.5076179120296768,0.2787325945529846,0.5918242929933163,104,99,10,2,klebsiella,emb16_g64_e64_mean
26,0.5383126742790735,0.5865384615384616,0.5757575757575758,1.0,0.7932692307692307,0.5536264706976138,0.1483147314414781,0.18562136547496683,0.445200115442276,0.4273317435082141,0.23857707074107537,0.5682451938493893,104,99,10,2,klebsiella,emb16_g64_e64_mean
27,0.5340427573233487,0.5865384615384616,0.5656565656565656,1.0,0.7932692307692307,0.5480305224728699,0.1477593644431353,0.16452122608629557,0.45099951326847076,0.4926801801801802,0.2827267216074047,0.559560757703506,104,99,10,2,klebsiella,emb16_g64_e64_mean
28,0.5311036538716127,0.6057692307692307,0.5858585858585859,1.0,0.8028846153846154,0.5395151572660185,0.15716829238605876,0.13103720029959312,0.4450642036067115,0.4860559088500265,0.26783805074547723,0.5754146110266447,104,99,10,2,klebsiella,emb16_g64_e64_mean
29,0.5298137091996223,0.6057692307692307,0.5959595959595959,1.0,0.8028846153846154,0.5379825858757473,0.16349914831286214,0.1346528083086014,0.44917067885398865,0.48542660307366187,0.2628683776025189,0.5920013401370782,104,99,10,2,klebsiella,emb16_g64_e64_mean
30,0.5264177485121937,0.6153846153846154,0.5959595959595959,1.0,0.8076923076923077,0.5322301101405174,0.15593919538569082,0.15571277373685286,0.4511633600507464,0.510996290408055,0.278031585840297,0.5678648721570005,104,99,10,2,klebsiella,emb16_g64_e64_mean
31,0.5231492693091007,0.625,0.6060606060606061,1.0,0.8125,0.5362038318820012,0.15382663389320428,0.11367097425346193,0.4392532323087965,0.4573396926338103,0.24906477792301668,0.5614770337795982,104,99,10,2,klebsiella,emb16_g64_e64_mean
32,0.5180908817382184,0.5865384615384616,0.5757575757575758,1.0,0.7932692307692307,0.5339477139238554,0.16005810366962103,0.1453855860118683,0.44523659348487854,0.487413884472708,0.26358394229104615,0.5797166423155711,104,99,10,2,klebsiella,emb16_g64_e64_mean
