epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles,coverage,fold,test_genome,variant
1,0.6917081019804303,0.75,0.75,1.0,0.875,0.661684836447239,0.22113586386807355,0.2973828215152025,0.43790630002816516,0.7277227722772277,0.4512918823746072,0.6868376187980175,80,76,10,3,salmonella,emb16_g64_e64_mean
2,0.6972123810463706,0.7625,0.7631578947368421,1.0,0.88125,0.6458079259842634,0.21009597172929545,0.3336772728711367,0.4509665553386395,0.6886492220650636,0.4176585335236058,0.6837996006011963,80,76,10,3,salmonella,emb16_g64_e64_mean
3,0.6986474743333914,0.75,0.75,1.0,0.875,0.6493322249501944,0.20746577827861698,0.34211735352873796,0.4499488025903702,0.696958981612447,0.4281772955565415,0.6829198054969311,80,76,10,3,salmonella,emb16_g64_e64_mean
4,0.6853368241908186,0.7375,0.7368421052631579,1.0,0.86875,0.646235230192542,0.20717183392250832,0.31923816800117494,0.4468476288020611,0.6086162187647337,0.37872913112487144,0.6859384328126907,80,76,10,3,salmonella,emb16_g64_e64_mean
5,0.67094741997409,0.7375,0.7368421052631579,1.0,0.86875,0.6453597195446491,0.2028811864200745,0.3262318849563599,0.4414064511656761,0.5828618576143328,0.36468797591409663,0.6848335362970829,80,76,10,3,salmonella,emb16_g64_e64_mean
6,0.6625333285264376,0.725,0.7236842105263158,1.0,0.8625,0.6381997555494309,0.19488109345585072,0.30461784750223164,0.43453794717788696,0.5601131541725601,0.35041220912811016,0.6813719302415848,80,76,10,3,salmonella,emb16_g64_e64_mean
7,0.6543913815317854,0.725,0.7236842105263158,1.0,0.8625,0.6287087753415108,0.19020771002494125,0.29908028058707714,0.431652307510376,0.5936468646864685,0.37437325176568353,0.6792573802173137,80,76,10,3,salmonella,emb16_g64_e64_mean
8,0.6477538540875171,0.7375,0.7368421052631579,1.0,0.86875,0.6163215301930904,0.18209109121923955,0.3254526779055595,0.4331991771856944,0.561999057048562,0.35498927252823287,0.6756565146148205,80,76,10,3,salmonella,emb16_g64_e64_mean
9,0.6420667828981486,0.7375,0.7368421052631579,1.0,0.86875,0.6088003776967525,0.17798166648125754,0.32063621282577515,0.4386983787020048,0.5153818953323904,0.3244522249980372,0.6737626105546951,80,76,10,3,salmonella,emb16_g64_e64_mean
10,0.6315184516758569,0.7375,0.7368421052631579,1.0,0.86875,0.5964366817846894,0.16942028928197614,0.30845583938062193,0.44372038915753365,0.614038189533239,0.39868909167774014,0.6659989390522242,80,76,10,3,salmonella,emb16_g64_e64_mean
