epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles,coverage,fold,test_genome,variant
1,0.7093981955070597,0.55,0.5384615384615384,1.0,0.78125,0.6976209647953511,0.2260225336533627,0.1491731800138951,0.452068742364645,0.6155018761726079,0.3772059251790766,0.690676411986351,80,78,20,1,ecoli,emb16_g64_e64_mean
2,0.6891292725906935,0.5625,0.5512820512820513,1.0,0.7875,0.6998396389186382,0.21119295958523887,0.2646423181518912,0.4454036373645067,0.4635905253283302,0.2751421179333864,0.686230730265379,80,78,20,1,ecoli,emb16_g64_e64_mean
3,0.6868505449940627,0.5375,0.5256410256410257,1.0,0.775,0.7026307418942451,0.21629299910617691,0.22241304870694875,0.44786084443330765,0.6234169793621013,0.3816794324287936,0.6879494838416577,80,78,20,1,ecoli,emb16_g64_e64_mean
4,0.6907739817456969,0.5375,0.5256410256410257,1.0,0.775,0.6964158147573472,0.20886733940419672,0.24954844564199447,0.4455314363752093,0.4291744840525329,0.25963512424185586,0.6861915178596973,80,78,20,1,ecoli,emb16_g64_e64_mean
5,0.6882918126301855,0.55,0.5384615384615384,1.0,0.78125,0.6995009161531925,0.21257281678495632,0.2665407065302134,0.44623494999749325,0.6392471857410882,0.4043339414607926,0.6875654265284539,80,78,20,1,ecoli,emb16_g64_e64_mean
6,0.6877533911699903,0.5375,0.5256410256410257,1.0,0.775,0.7046173840761185,0.20458853167954621,0.28175560943782324,0.44293943177098816,0.6515595684803002,0.4068342847296792,0.6851055055856705,80,78,20,1,ecoli,emb16_g64_e64_mean
7,0.686151004588636,0.525,0.5128205128205128,1.0,0.76875,0.6952314011752605,0.2036610930397023,0.28127589225769045,0.4416459465026855,0.3763484990619137,0.21840726800764623,0.6852476097643375,80,78,20,1,ecoli,emb16_g64_e64_mean
8,0.6851746053222677,0.5375,0.5256410256410257,1.0,0.775,0.697996611520648,0.21043401514053156,0.2755285479128361,0.4456217857924375,0.5543503752345216,0.3404003652419878,0.687197046726942,80,78,20,1,ecoli,emb16_g64_e64_mean
9,0.6808164733344684,0.5625,0.5512820512820513,1.0,0.7875,0.6969538234174252,0.2083203733601421,0.2977904468774795,0.4453294602307406,0.5734052532833022,0.36266761498592254,0.6868364922702312,80,78,20,1,ecoli,emb16_g64_e64_mean
10,0.6779861367899356,0.55,0.5384615384615384,1.0,0.78125,0.6921987291425467,0.20616727626446205,0.29456341639161104,0.44301274667183554,0.46787054409005624,0.27721267431773594,0.6863955780863762,80,78,20,1,ecoli,emb16_g64_e64_mean
