epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles,coverage,fold,test_genome,variant,use_lstm
1,0.7187396013864563,0.525,0.5384615384615384,1.0,0.76875,0.6984072662889957,0.24084811092757924,0.047975251451134626,0.4442777633666992,0.7440196998123827,0.4584474544025461,0.6924970269203186,80,78,20,1,ecoli,emb16_g64_e64_lstm,True
2,0.6944355462096012,0.55,0.5512820512820513,1.0,0.78125,0.6954283609986305,0.23825706475302297,0.07208873555064198,0.4260457754135132,0.675891181988743,0.4265690291967833,0.6924561843276024,80,78,20,1,ecoli,emb16_g64_e64_lstm,True
3,0.7134511815159315,0.525,0.5256410256410257,1.0,0.76875,0.6910027652978897,0.22925739713719037,0.08922783806920054,0.4498543381690979,0.37793151969981237,0.2586313754807014,0.6912740938365459,80,78,20,1,ecoli,emb16_g64_e64_lstm,True
4,0.6899290298169164,0.55,0.5512820512820513,1.0,0.78125,0.7039662718772888,0.22288337611231118,0.20547044053673744,0.45192455500364304,0.6771224202626642,0.4272609014194914,0.6897068172693253,80,78,20,1,ecoli,emb16_g64_e64_lstm,True
5,0.6873778501880073,0.5625,0.5512820512820513,1.0,0.7875,0.6966321736574173,0.21876365557838118,0.2610815823078156,0.45054952914898216,0.5325398686679175,0.3076922487834528,0.6893650196492672,80,78,20,1,ecoli,emb16_g64_e64_lstm,True
6,0.6968261078599312,0.5375,0.5256410256410257,1.0,0.775,0.6954204373061657,0.21076495553674163,0.277001440897584,0.44878587397662073,0.40718808630393993,0.24006971433682464,0.6878050111234189,80,78,20,1,ecoli,emb16_g64_e64_lstm,True
7,0.6877169480432455,0.55,0.5384615384615384,1.0,0.78125,0.7012057065963745,0.2116664129764505,0.2899149000644684,0.44711656570434566,0.6098147279549718,0.3815513638905185,0.6878537707030773,80,78,20,1,ecoli,emb16_g64_e64_lstm,True
8,0.6837269654222852,0.55,0.5384615384615384,1.0,0.78125,0.7021430261433125,0.20714645283009236,0.3204074222594499,0.44608097984677264,0.623827392120075,0.3956481368119392,0.6865796886384488,80,78,20,1,ecoli,emb16_g64_e64_lstm,True
9,0.6816016156775702,0.55,0.5384615384615384,1.0,0.78125,0.6962739616632462,0.20357604298496637,0.30447510778903963,0.44926708495175394,0.46980534709193245,0.2860099564833457,0.6856272131204605,80,78,20,1,ecoli,emb16_g64_e64_lstm,True
10,0.681152369557373,0.55,0.5384615384615384,1.0,0.78125,0.6982349071651697,0.20243463580872262,0.3272968567907811,0.4461996028056512,0.5943949343339587,0.36927140101748457,0.6851926013827324,80,78,20,1,ecoli,emb16_g64_e64_lstm,True
