epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles,coverage,fold,test_genome,variant,use_lstm
1,0.7347510366706375,0.550561797752809,0.5476190476190477,1.0,0.7752808988764045,0.7039750687610568,0.22532898562616702,0.10126404966531175,0.4480873644351959,0.7098557847765635,0.38289693120750395,0.6728173634979162,89,84,20,2,klebsiella,emb16_g64_e64_mean,False
2,0.6976934059806492,0.5842696629213483,0.5714285714285714,1.0,0.7921348314606742,0.6983430256250869,0.22439732890506886,0.11351180160313512,0.4463764190673828,0.6955959386923624,0.3626596698240438,0.6747836529204015,89,84,20,2,klebsiella,emb16_g64_e64_mean,False
3,0.7221151694007542,0.5280898876404494,0.5,1.0,0.7640449438202247,0.7051765575921267,0.21983891066212474,0.06604102103227984,0.44405436515808105,0.6266895169113367,0.3253581263077874,0.6715982606571712,89,84,20,2,klebsiella,emb16_g64_e64_mean,False
4,0.6982479881796038,0.5617977528089888,0.5357142857142857,1.0,0.7808988764044944,0.686836741613538,0.234641942785904,0.09702523471264357,0.4521867831548055,0.691036668175645,0.3663524953343326,0.6914231978105695,89,84,20,2,klebsiella,emb16_g64_e64_mean,False
5,0.7194639261464895,0.6067415730337079,0.5952380952380952,1.0,0.8033707865168539,0.7503171367256829,0.21664757628408812,0.16818262728747357,0.4442276954650879,0.580967470736597,0.3119341867225349,0.6659141986557607,89,84,20,2,klebsiella,emb16_g64_e64_mean,False
6,0.7120324436922251,0.5393258426966292,0.5238095238095238,1.0,0.7696629213483146,0.7240034720462778,0.22284062835055407,0.06274801973002346,0.44691020250320435,0.7021599948263597,0.3641089013070202,0.6642782071793683,89,84,20,2,klebsiella,emb16_g64_e64_mean,False
7,0.7032778950211425,0.550561797752809,0.5357142857142857,1.0,0.7752808988764045,0.6985819259386384,0.2285009981270897,0.0776427753185958,0.46025973558425903,0.5383819439953437,0.2619536302717746,0.6852843942267172,89,84,20,2,klebsiella,emb16_g64_e64_mean,False
8,0.6962203451565334,0.5617977528089888,0.5357142857142857,1.0,0.7808988764044944,0.6863661475395888,0.23078758230092078,0.08249770523457045,0.4480167627334595,0.5601112332665071,0.26179667250559957,0.6899244537514247,89,84,20,2,klebsiella,emb16_g64_e64_mean,False
9,0.6962179158785329,0.6179775280898876,0.5952380952380952,1.0,0.8089887640449438,0.6944210901019279,0.2272373174771995,0.15441164089722575,0.45295376578966773,0.5770225700058204,0.29257610670882367,0.6863885608951698,89,84,20,2,klebsiella,emb16_g64_e64_mean,False
10,0.698541095612212,0.5617977528089888,0.5357142857142857,1.0,0.7808988764044944,0.6837549152668942,0.2261560246987379,0.11591471045204761,0.44755562643210095,0.5948392937980987,0.2982452825768986,0.6895751799090525,89,84,20,2,klebsiella,emb16_g64_e64_mean,False
