epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles,coverage,fold,test_genome,variant,use_lstm
1,0.7280862687444529,0.6176470588235294,0.6031746031746031,1.0,0.8088235294117647,0.6852999518022818,0.22641509249777497,0.16741586914833853,0.43376731872558594,0.6826402640264027,0.4234272750817465,0.6861696725382525,68,63,20,3,salmonella,emb16_g64_e64_lstm,True
2,0.7098066401560315,0.5735294117647058,0.5396825396825397,1.0,0.7867647058823529,0.6840529678498998,0.22636059525360933,0.12358963445705527,0.4531203359365463,0.5873267326732673,0.3709509465612651,0.686292785932036,68,63,20,3,salmonella,emb16_g64_e64_lstm,True
3,0.7049448099663549,0.5735294117647058,0.5396825396825397,1.0,0.7867647058823529,0.7027257172500386,0.22461282299517243,0.10711266341454843,0.4551847577095032,0.4865346534653465,0.30552540145807794,0.6819885193425066,68,63,20,3,salmonella,emb16_g64_e64_lstm,True
4,0.6927205134343,0.6029411764705882,0.6190476190476191,1.0,0.8014705882352942,0.6812652244287378,0.21936669817463605,0.13052929696791316,0.45736539363861084,0.6625082508250825,0.4181811843950339,0.6786059566280421,68,63,20,3,salmonella,emb16_g64_e64_lstm,True
5,0.6899184956408964,0.5735294117647058,0.5396825396825397,1.0,0.7867647058823529,0.7025071514003417,0.21884409968795784,0.1345631396945786,0.44229494200812447,0.4485808580858086,0.2680599818058223,0.6838067813831217,68,63,20,3,salmonella,emb16_g64_e64_lstm,True
6,0.689479393534141,0.6029411764705882,0.5873015873015873,1.0,0.8014705882352942,0.682826944572084,0.2236986546882741,0.15670923713375537,0.44301306009292607,0.5341914191419141,0.30444713456027944,0.6890918270629995,68,63,20,3,salmonella,emb16_g64_e64_lstm,True
7,0.6831236637071414,0.6029411764705882,0.5873015873015873,1.0,0.8014705882352942,0.6838476749904016,0.21687241845284141,0.16361629875267247,0.447199784219265,0.5032343234323432,0.30202833133137663,0.685529805281583,68,63,20,3,salmonella,emb16_g64_e64_lstm,True
8,0.6807810178290893,0.6323529411764706,0.6190476190476191,1.0,0.8161764705882353,0.6806730943567613,0.2144473081139539,0.20514420419931412,0.46188653508822125,0.5033003300330032,0.303983959777456,0.6850218930665184,68,63,20,3,salmonella,emb16_g64_e64_lstm,True
9,0.6768795128899439,0.6323529411764706,0.6349206349206349,1.0,0.8161764705882353,0.6714289893998819,0.21229916806772126,0.17235696885515653,0.45782656967639923,0.6346534653465346,0.3841507461048461,0.6823942985604791,68,63,20,3,salmonella,emb16_g64_e64_lstm,True
10,0.6828601562937494,0.6176470588235294,0.6031746031746031,1.0,0.8088235294117647,0.6831502901280627,0.21255871413262942,0.17269209465559787,0.4519474080630711,0.5044224422442245,0.30922729767085066,0.6828296684166965,68,63,20,3,salmonella,emb16_g64_e64_lstm,True
11,0.6944043557636022,0.6176470588235294,0.6031746031746031,1.0,0.8088235294117647,0.7286921666715952,0.20368747888844949,0.22954776757122836,0.44629742818720197,0.4067326732673267,0.26378753293920765,0.6669542270109934,68,63,20,3,salmonella,emb16_g64_e64_lstm,True
12,0.6857121969410295,0.6176470588235294,0.6190476190476191,1.0,0.8088235294117647,0.6686486005783081,0.2024721035427114,0.1990009449860629,0.44751933548185563,0.6347854785478547,0.39958513983078203,0.6744911258711535,68,63,20,3,salmonella,emb16_g64_e64_lstm,True
13,0.6962988455303432,0.6617647058823529,0.6666666666666666,1.0,0.8308823529411765,0.6704944784150404,0.2001564055441772,0.26983742043375974,0.458210326731205,0.6382178217821781,0.4016116966277564,0.6718526434372453,68,63,20,3,salmonella,emb16_g64_e64_lstm,True
14,0.6727588669498368,0.6323529411764706,0.6031746031746031,1.0,0.8161764705882353,0.7249745203949073,0.19610556820333927,0.30598514406558347,0.4508409996827443,0.42336633663366335,0.2651366501269752,0.6653445104465765,68,63,20,3,salmonella,emb16_g64_e64_lstm,True
15,0.6832267373505205,0.6176470588235294,0.5873015873015873,1.0,0.8088235294117647,0.6832980272524497,0.19632238547671593,0.29529292399392404,0.4518014167745908,0.46904290429042905,0.28588862645431345,0.6769952467259239,68,63,20,3,salmonella,emb16_g64_e64_lstm,True
16,0.6681317370323459,0.6617647058823529,0.6349206349206349,1.0,0.8308823529411765,0.6674885298399365,0.20009659497357296,0.2731548731817919,0.450980544090271,0.4734653465346534,0.29237082528935376,0.6786270921721178,68,63,20,3,salmonella,emb16_g64_e64_lstm,True
17,0.6804013869943398,0.6029411764705882,0.5873015873015873,1.0,0.8014705882352942,0.7135385456768906,0.19345059632296113,0.22847216872169687,0.45152750313282014,0.4266666666666667,0.2880102543084415,0.6592609216185177,68,63,20,3,salmonella,emb16_g64_e64_lstm,True
18,0.6700239701829728,0.7058823529411765,0.6984126984126984,1.0,0.8529411764705882,0.6554258540272713,0.19993122121095533,0.31452196792644616,0.4554476924240589,0.5925412541254125,0.3610039992252937,0.6778674388633055,68,63,20,3,salmonella,emb16_g64_e64_lstm,True
19,0.6662198008090356,0.6176470588235294,0.5873015873015873,1.0,0.8088235294117647,0.6941450222888413,0.19036340562457502,0.21518863496534962,0.44539524401937214,0.4143234323432343,0.26035246958806363,0.6652672503362683,68,63,20,3,salmonella,emb16_g64_e64_lstm,True
20,0.6643189294110037,0.6029411764705882,0.5873015873015873,1.0,0.8014705882352942,0.6620817521915716,0.19647024021383933,0.1804020733517759,0.44927693009376524,0.48924092409240916,0.30068651615379316,0.6743736354743733,68,63,20,3,salmonella,emb16_g64_e64_lstm,True
21,0.6585075827715027,0.6029411764705882,0.5873015873015873,1.0,0.8014705882352942,0.6633377410471439,0.18840703082789617,0.1961492019541123,0.4533642445291792,0.4470627062706271,0.29761810438855424,0.6626988552949008,68,63,20,3,salmonella,emb16_g64_e64_lstm,True
