epoch,train_loss,acc_dec,acc_bub,top2_acc,mrr,nll,brier,ece,mce,roc_auc_edge,pr_auc_edge,mean_entropy,decisions,bubbles,coverage,fold,test_genome,variant,use_lstm
1,0.7141050069835713,0.6323529411764706,0.6507936507936508,1.0,0.8161764705882353,0.6940831153050941,0.22387786340728588,0.1624559444539687,0.43165428936481476,0.7044884488448845,0.44608946815438155,0.6753748753929839,68,63,20,3,salmonella,emb16_g64_e64_mean,False
2,0.7133036611890635,0.5588235294117647,0.5396825396825397,1.0,0.7794117647058824,0.7600395275170312,0.21984587962769328,0.1450638843097669,0.45672154426574707,0.36066006600660067,0.2239066199213721,0.6708115442272495,68,63,20,3,salmonella,emb16_g64_e64_mean,False
3,0.7027372053944239,0.6176470588235294,0.6031746031746031,1.0,0.8088235294117647,0.6910750865936279,0.22148177884894332,0.193195463541676,0.4541995326677958,0.5600660066006601,0.33816670983833497,0.6846995739375844,68,63,20,3,salmonella,emb16_g64_e64_mean,False
4,0.6870385006119316,0.6323529411764706,0.6349206349206349,1.0,0.8161764705882353,0.681585438987788,0.21867955904840214,0.16063353156342222,0.45229252576828005,0.661056105610561,0.40638640731956843,0.6825736796154696,68,63,20,3,salmonella,emb16_g64_e64_mean,False
5,0.6863029873607183,0.6323529411764706,0.6190476190476191,1.0,0.8161764705882353,0.7047333601204788,0.22089169346658621,0.17671333297210584,0.44551943739255273,0.47782178217821786,0.2991902665861617,0.6805248926667606,68,63,20,3,salmonella,emb16_g64_e64_mean,False
6,0.7257185070821555,0.5588235294117647,0.5396825396825397,1.0,0.7794117647058824,0.7678398409967914,0.2143049159970796,0.13961044573635958,0.4437582823965285,0.3936633663366336,0.2368158297503799,0.6678170646157335,68,63,20,3,salmonella,emb16_g64_e64_mean,False
7,0.6961216368887684,0.6470588235294118,0.6507936507936508,1.0,0.8235294117647058,0.6820799675496185,0.21177846116916416,0.21189961911124344,0.4497633377710978,0.6376897689768977,0.38087093974592284,0.6787943822496078,68,63,20,3,salmonella,emb16_g64_e64_mean,False
8,0.6855128247155609,0.6029411764705882,0.6031746031746031,1.0,0.8014705882352942,0.683911482200903,0.20791802947566818,0.19566897522000704,0.4579879105091095,0.6351815181518152,0.37958606204485773,0.6806423944585464,68,63,20,3,salmonella,emb16_g64_e64_mean,False
9,0.6823954297961181,0.5735294117647058,0.5714285714285714,1.0,0.7867647058823529,0.6856202938977409,0.2129669080365879,0.2325956365641426,0.4465942084789276,0.5484488448844884,0.3155875920764919,0.6872584749670589,68,63,20,3,salmonella,emb16_g64_e64_mean,False
10,0.6830777062637972,0.5882352941176471,0.5714285714285714,1.0,0.7941176470588235,0.692212234963389,0.2076707334632849,0.2245124856777051,0.44765231758356094,0.49755775577557754,0.2938755573338805,0.6831319121753469,68,63,20,3,salmonella,emb16_g64_e64_mean,False
11,0.6786943989815098,0.6029411764705882,0.5873015873015873,1.0,0.8014705882352942,0.6835907241877388,0.21027184701157406,0.19835337865002015,0.4402989016638862,0.5279207920792078,0.319021969271766,0.6844458851744147,68,63,20,3,salmonella,emb16_g64_e64_mean,False
12,0.681646326489181,0.6176470588235294,0.6031746031746031,1.0,0.8088235294117647,0.6885522248990396,0.20598540118287118,0.17689476447070349,0.44885268807411194,0.5166996699669967,0.31756465022546865,0.677567344816292,68,63,20,3,salmonella,emb16_g64_e64_mean,False
13,0.6748404824497676,0.6470588235294118,0.6507936507936508,1.0,0.8235294117647058,0.6765722772654366,0.20944756646699883,0.19764460754745145,0.45502421259880066,0.6240264026402641,0.36600540521822933,0.6809908598661423,68,63,20,3,salmonella,emb16_g64_e64_mean,False
14,0.6672399866305562,0.6029411764705882,0.5873015873015873,1.0,0.8014705882352942,0.6839330674094313,0.20614016757203374,0.22279588615193088,0.44995217663901194,0.5408580858085809,0.32126541370967754,0.6825864087132847,68,63,20,3,salmonella,emb16_g64_e64_mean,False
15,0.6670833670660214,0.5882352941176471,0.5714285714285714,1.0,0.7941176470588235,0.681017757338636,0.20556620620322688,0.1623551012838588,0.4593112866083781,0.5272607260726072,0.3305201735795718,0.6795705591931063,68,63,20,3,salmonella,emb16_g64_e64_mean,False
16,0.6681230998668733,0.6029411764705882,0.5873015873015873,1.0,0.8014705882352942,0.6817984699326403,0.19876024111843668,0.2116904309129014,0.45735257863998413,0.516963696369637,0.3303589262158251,0.675727490993107,68,63,20,3,salmonella,emb16_g64_e64_mean,False
17,0.6648668719596988,0.6029411764705882,0.6031746031746031,1.0,0.8014705882352942,0.6790879390695516,0.19829886071094513,0.24249672056997523,0.4475277860959371,0.6125412541254125,0.3668699245891309,0.6796000415787977,68,63,20,3,salmonella,emb16_g64_e64_mean,False
18,0.6591336337646635,0.6029411764705882,0.5873015873015873,1.0,0.8014705882352942,0.676498947555528,0.19581359713739896,0.19307264225447876,0.4559889256954193,0.5146534653465347,0.3350214407270793,0.6728265040061053,68,63,20,3,salmonella,emb16_g64_e64_mean,False
19,0.6648384070042337,0.5882352941176471,0.5714285714285714,1.0,0.7941176470588235,0.6920078451580861,0.18974797354962003,0.19927375434952624,0.4495034430708204,0.5003300330033003,0.32473826928829114,0.6649007806006599,68,63,20,3,salmonella,emb16_g64_e64_mean,False
20,0.6625778342630997,0.5735294117647058,0.5555555555555556,1.0,0.7867647058823529,0.7195502519607544,0.1890633870762327,0.24265394403653986,0.4484793126583099,0.46877887788778877,0.2687967728091739,0.667245585252257,68,63,20,3,salmonella,emb16_g64_e64_mean,False
21,0.6551293539922229,0.6323529411764706,0.6349206349206349,1.0,0.8161764705882353,0.6610724807662123,0.18838880641603717,0.2268506376182332,0.4556197176376979,0.6254785478547855,0.3937716071917063,0.6680948006756166,68,63,20,3,salmonella,emb16_g64_e64_mean,False
22,0.6510691242446207,0.6029411764705882,0.5873015873015873,1.0,0.8014705882352942,0.7123281023300746,0.18333204648303592,0.2746359591427095,0.4489265903830528,0.4566996699669967,0.272172301991166,0.6566727678565418,68,63,20,3,salmonella,emb16_g64_e64_mean,False
