fold,params,train_genomes,val_genomes,test_genomes,train_bubbles,val_bubbles,test_bubbles,test_loss,test_acc_dec,test_acc_bub,test_precision_dec,test_recall_dec,test_f1_dec,test_brier,test_decisions,retry,seed
0,1/3,10569,"ecoli_variant2,ecoli_variant1",ecoli_variant3,1211,134,334,0.697797,0.545455,0.523952,0.545706,0.994949,0.704830,0.224401,363,1,9391146
1,2/3,10569,"ecoli_variant3,ecoli_variant1",ecoli_variant2,1319,146,214,0.750856,0.564854,0.532710,0.567227,1.000000,0.723861,0.200460,239,1,9391146
2,3/3,10569,"ecoli_variant3,ecoli_variant2",ecoli_variant1,493,55,1131,0.691280,0.522643,0.496905,0.523455,0.998580,0.686859,0.183780,1347,1,9391146
3,1/3,10569,"ecoli_variant1,ecoli_variant3",ecoli_variant2,1319,146,214,0.600403,0.548117,0.514019,0.546218,0.992366,0.704607,0.165324,239,2,9333662
4,2/3,10569,"ecoli_variant2,ecoli_variant3",ecoli_variant1,493,55,1088,0.699741,0.517446,0.484375,0.517498,0.997131,0.681373,0.204716,1347,2,9333662
5,3/3,10569,"ecoli_variant2,ecoli_variant1",ecoli_variant3,1211,134,334,0.779950,0.528926,0.514970,0.531856,1.000000,0.694394,0.196894,363,2,9333662
6,1/3,10569,"ecoli_variant2,ecoli_variant1",ecoli_variant3,1211,134,334,0.745947,0.537190,0.505988,0.534626,0.989744,0.694245,0.181717,363,3,5017879
7,2/3,10569,"ecoli_variant3,ecoli_variant1",ecoli_variant2,1319,146,214,0.859795,0.560669,0.542056,0.560669,1.000000,0.718499,0.197855,239,3,5017879
8,3/3,10569,"ecoli_variant3,ecoli_variant2",ecoli_variant1,493,55,1131,0.701556,0.520416,0.502210,0.521221,0.998573,0.684932,0.193101,1347,3,5017879
9,1/3,10569,"ecoli_variant1,ecoli_variant3",ecoli_variant2,1319,146,214,0.616254,0.577406,0.542056,0.579832,1.000000,0.734043,0.169724,239,4,6705175
10,2/3,10569,"ecoli_variant2,ecoli_variant3",ecoli_variant1,493,55,1131,0.718790,0.521901,0.499558,0.521577,0.997155,0.684905,0.162838,1347,4,6705175
11,3/3,10569,"ecoli_variant2,ecoli_variant1",ecoli_variant3,1211,134,334,0.705000,0.556474,0.520958,0.558011,1.000000,0.716312,0.192712,363,4,6705175
12,1/3,10569,"ecoli_variant3,ecoli_variant2",ecoli_variant1,493,55,811,0.692812,0.517446,0.397041,0.518629,0.998565,0.682688,0.187022,1347,5,1692311
13,2/3,10569,"ecoli_variant1,ecoli_variant2",ecoli_variant3,1211,134,334,0.685174,0.534435,0.500000,0.534626,0.994845,0.695495,0.210568,363,5,1692311
14,3/3,10569,"ecoli_variant1,ecoli_variant3",ecoli_variant2,1319,146,214,0.694180,0.573222,0.546729,0.575630,1.000000,0.730667,0.201982,239,5,1692311
